Date, Close/Last, Volume, Open, High, Low
2020-09-14,1.0018, N/A,1.001,1.0018,1.0008
2020-09-13,1.001, N/A,1.0017,1.0013,1.0004
2020-09-12,1.0016, N/A,1.0011,1.0017,1.0012
2020-09-11,1.0012, N/A,1.0011,1.0016,1.001
2020-09-10,1.0012, N/A,1.002,1.0017,1.0008
2020-09-09,1.0021, N/A,1.0019,1.0025,1.001
2020-09-08,1.002, N/A,1.0022,1.0022,1.0015
2020-09-07,1.0021, N/A,1.0014,1.0028,1.0014
2020-09-06,1.0016, N/A,1.0026,1.0023,1.0013
2020-09-05,1.0026, N/A,1.0028,1.003,1.0024
2020-09-04,1.0028, N/A,1.0012,1.0029,1.0023
2020-09-03,1.0011, N/A,1.0008,1.0022,1.0006
2020-09-02,1.0008, N/A,1.0015,1.0013,1.0007
2020-09-01,1.0014, N/A,1.0017,1.0019,1.0013
2020-08-31,1.0018, N/A,1.0023,1.002,1.0009
2020-08-30,1.0023, N/A,1.0017,1.0026,1.0012
2020-08-29,1.0018, N/A,1.0013,1.002,1.0014
2020-08-28,1.0013, N/A,1.0013,1.0017,1.0011
2020-08-27,1.0014, N/A,1.0014,1.0019,1.0012
2020-08-26,1.0015, N/A,1.0006,1.0016,1.0012
2020-08-25,1.0008, N/A,1.0009,1.0015,1.0005
2020-08-24,1.001, N/A,1.0013,1.0013,1.0005
2020-08-23,1.0013, N/A,1.0013,1.0015,1.0008
2020-08-22,1.0014, N/A,1.0004,1.0017,1.0008
2020-08-21,1.0004, N/A,1.001,1.001,1.0001
2020-08-20,1.0012, N/A,1.0014,1.0024,1.0009
2020-08-19,1.0013, N/A,1.0012,1.0023,1.001
2020-08-18,1.0014, N/A,1.0019,1.0018,1.001
2020-08-17,1.0022, N/A,1.0012,1.0022,1.0014
2020-08-16,1.001, N/A,1.0012,1.0019,1.0006
2020-08-15,1.0013, N/A,1.0012,1.0018,1.0011
2020-08-14,1.0012, N/A,1.002,1.0015,1.0002
2020-08-13,1.0016, N/A,1.0002,1.0024,1.0015
2020-08-12,1.0001, N/A,0.9995,1.0019,0.9993
2020-08-11,0.9994, N/A,1.0007,0.9999,0.9991
2020-08-10,1.0006, N/A,1.0012,1.001,1.0003
2020-08-09,1.0012, N/A,1.0003,1.0012,0.9996
2020-08-08,1.0002, N/A,0.9997,1.0007,0.9998
2020-08-07,0.9997, N/A,1.0,1.0002,0.9992
2020-08-06,0.9999, N/A,1.0001,1.0002,0.9997
2020-08-05,1.0001, N/A,0.9995,1.0009,0.9998
2020-08-04,0.9995, N/A,0.9999,1.0001,0.9993
2020-08-03,0.9999, N/A,0.9996,1.0003,0.9994
2020-08-02,0.9996, N/A,0.9996,1.0001,0.9990000000000001
2020-08-01,0.9996, N/A,1.0008,1.0004,0.9995
2020-07-31,1.0007, N/A,1.0018,1.0014,1.0003
2020-07-30,1.0019, N/A,1.0018,1.0022,1.0017
2020-07-29,1.0016, N/A,1.0018,1.002,1.0011
2020-07-28,1.0016, N/A,1.0017,1.0022,1.0015
2020-07-27,1.0017, N/A,1.0023,1.0021,1.0014
2020-07-26,1.0023, N/A,1.002,1.0024,1.0014
2020-07-25,1.002, N/A,1.0022,1.002,1.0011
2020-07-24,1.0022, N/A,1.0012,1.0024,1.0019
2020-07-23,1.0012, N/A,1.0024,1.0015,1.0011
2020-07-22,1.0024, N/A,1.0021,1.0027,1.0022
2020-07-21,1.0021, N/A,1.0013,1.0022,1.0017
2020-07-20,1.0014, N/A,1.0016,1.0017,1.0012
2020-07-19,1.0016, N/A,1.0012,1.0022,1.0013
2020-07-18,1.0011, N/A,1.001,1.0018,1.0011
2020-07-17,1.0011, N/A,1.0012,1.0015,1.0007
2020-07-16,1.0013, N/A,1.0007,1.0014,1.0004
2020-07-15,1.0007, N/A,1.0011,1.0009,0.9999
2020-07-14,1.001, N/A,1.0007,1.0012,1.0003
2020-07-13,1.0008, N/A,1.0015,1.0011,1.0007
2020-07-12,1.0015, N/A,1.0014,1.0016,1.001
2020-07-11,1.0015, N/A,1.0015,1.0016,1.0008
2020-07-10,1.0015, N/A,1.0009,1.0016,1.0008
2020-07-09,1.0009, N/A,1.0013,1.0014,1.0007
2020-07-08,1.0013, N/A,1.0013,1.0018,1.0011
2020-07-07,1.0012, N/A,1.001,1.0015,1.001
2020-07-06,1.001, N/A,1.0013,1.0013,1.0008
2020-07-05,1.0012, N/A,1.0016,1.0016,1.0012
2020-07-04,1.0016, N/A,1.0009,1.0017,1.001
2020-07-03,1.001, N/A,1.0006,1.0011,1.0007
2020-07-02,1.0004, N/A,1.0004,1.0007,1.0002
2020-07-01,1.0004, N/A,1.0006,1.0007,1.0004
2020-06-30,1.0007, N/A,1.0004,1.0008,1.0003
2020-06-29,1.0004, N/A,1.0004,1.0006,0.9999
2020-06-28,1.0004, N/A,1.0005,1.001,1.0001
2020-06-27,1.0006, N/A,1.0004,1.0008,1.0004
2020-06-26,1.0004, N/A,1.0005,1.001,1.0001
2020-06-25,1.0005, N/A,1.0,1.0012,1.0001
2020-06-24,1.0, N/A,1.0013,1.0006,0.9999
2020-06-23,1.0013, N/A,1.0005,1.0015,1.0008
2020-06-22,1.0005, N/A,1.0003,1.0012,1.0004
2020-06-21,1.0002, N/A,1.0011,1.0008,0.9999
2020-06-20,1.0011, N/A,1.0005,1.0013,1.001
2020-06-19,1.0006, N/A,1.0,1.0008,0.9995
2020-06-18,0.9999, N/A,1.0006,1.0008,0.9999
2020-06-17,1.0006, N/A,1.0006,1.0009,1.0006
2020-06-16,1.0006, N/A,1.0012,1.0009,1.0003
2020-06-15,1.0011, N/A,1.0,1.0014,1.0005
2020-06-14,0.9999, N/A,1.0,1.0004,0.9999
2020-06-13,1.0002, N/A,1.0002,1.0004,1.0001
2020-06-12,1.0002, N/A,1.0001,1.0003,0.9999
2020-06-11,1.0, N/A,1.0008,1.0002,0.9992
2020-06-10,1.0008, N/A,1.0002,1.0011,1.0006
2020-06-09,1.0001, N/A,1.0,1.0006,1.0001
2020-06-08,0.9999, N/A,0.9999,1.0004,0.9994
2020-06-07,0.9999, N/A,1.0,1.0001,0.9998
2020-06-06,0.9999, N/A,0.9998,1.0004,0.9997
2020-06-05,0.9998, N/A,0.9999,1.0001,0.9997
2020-06-04,1.0001, N/A,1.0002,1.0004,0.9998
2020-06-03,1.0002, N/A,1.0001,1.0004,1.0001
2020-06-02,1.0001, N/A,1.0004,1.0011,1.0001
2020-06-01,1.0004, N/A,0.9994,1.0024,1.0004
2020-05-31,1.0, N/A,0.9999,1.0001,0.9994
2020-05-30,0.9998, N/A,0.9999,1.0,0.9994
2020-05-29,0.9999, N/A,0.9995,1.0003,0.9998
2020-05-28,0.9994, N/A,1.0004,1.0,0.9992
2020-05-27,1.0004, N/A,1.0013,1.0011,1.0002
2020-05-26,1.0015, N/A,1.001,1.0018,1.001
2020-05-25,1.001, N/A,1.0004,1.0014,1.0003
2020-05-24,1.0003, N/A,1.0003,1.0008,0.9998
2020-05-23,1.0004, N/A,1.0003,1.0009,1.0003
2020-05-22,1.0002, N/A,0.9999,1.0006,1.0002
2020-05-21,0.9999, N/A,0.9999,1.0,0.9995
2020-05-20,1.0, N/A,1.0001,1.0002,0.9999
2020-05-19,1.0001, N/A,0.9997,1.0003,1.0001
2020-05-18,0.9997, N/A,0.9997,0.9998,0.9996
2020-05-17,0.9995, N/A,1.0003,1.0,0.9993
2020-05-16,1.0001, N/A,1.0001,1.0004,0.9999
2020-05-15,1.0002, N/A,1.0004,1.0004,0.9998
2020-05-14,1.0003, N/A,1.0006,1.0007,1.0002
2020-05-13,1.0005, N/A,1.0006,1.0008,1.0002
2020-05-12,1.0006, N/A,1.0004,1.0011,1.0005
2020-05-11,1.0005, N/A,1.0008,1.0007,1.0003
2020-05-10,1.001, N/A,1.0003,1.0024,1.0
2020-05-09,1.0006, N/A,1.0004,1.0024,1.0001
2020-05-08,1.0002, N/A,1.0003,1.0007,1.0001
2020-05-07,1.0003, N/A,1.0007,1.0011,1.0001
2020-05-06,1.0007, N/A,1.0004,1.001,1.0003
2020-05-05,1.0005, N/A,1.0001,1.0009,1.0
2020-05-04,1.0001, N/A,1.0008,1.0007,1.0
2020-05-03,1.0012, N/A,1.0006,1.0013,1.0004
2020-05-02,1.0007, N/A,1.0007,1.001,0.9999
2020-05-01,1.0009, N/A,1.0009,1.0013,1.0004
2020-04-30,1.0008, N/A,1.0002,1.001,1.0006
2020-04-29,0.9995, N/A,1.0012,1.0009,0.9994
2020-04-28,1.0011, N/A,1.0013,1.0015,1.0009
2020-04-27,1.0013, N/A,1.001,1.0016,1.001
2020-04-26,1.0011, N/A,1.0013,1.0013,1.0009
2020-04-25,1.0011, N/A,1.0014,1.0014,1.001
2020-04-24,1.0016, N/A,1.0023,1.0018,1.001
2020-04-23,1.002, N/A,1.0031,1.0025,1.0015
2020-04-22,1.0028, N/A,1.0049,1.0037,1.0021
2020-04-21,1.0049, N/A,1.0028,1.0056,1.0025
2020-04-20,1.0028, N/A,1.0039,1.0033,1.0019
2020-04-19,1.0033, N/A,1.0032,1.0049,1.0025
2020-04-18,1.003, N/A,1.0042,1.0037,1.002
2020-04-17,1.0043, N/A,1.0033,1.0054,1.0025
2020-04-16,1.003, N/A,1.0052,1.0036,1.0026
2020-04-15,1.0049, N/A,1.0043,1.0063,1.0026
2020-04-14,1.0043, N/A,1.0038,1.0056,1.0023
2020-04-13,1.0036, N/A,1.003,1.0044,1.0031
2020-04-12,1.0029, N/A,1.0039,1.0044,1.0023
2020-04-11,1.0039, N/A,1.0029,1.0045,1.0027
2020-04-10,1.0029, N/A,1.0026,1.0031,1.0024
2020-04-09,1.0027, N/A,1.0025,1.003,1.0018
2020-04-08,1.002, N/A,1.002,1.0026,1.0018
2020-04-07,1.002, N/A,1.0024,1.0028,1.0012
2020-04-06,1.0021, N/A,1.0048,1.0033,1.0014
2020-04-05,1.0046, N/A,1.005,1.006,1.0029
2020-04-04,1.0053, N/A,1.0046,1.0061,1.0048
2020-04-03,1.0046, N/A,1.0038,1.005,1.0041
2020-04-02,1.0035, N/A,1.005,1.004,1.0021
2020-04-01,1.0051, N/A,1.005,1.0057,1.0042
2020-03-31,1.0053, N/A,1.0058,1.0059,1.0036
2020-03-30,1.0054, N/A,1.0058,1.0065,1.004
2020-03-29,1.0059, N/A,1.0047,1.0063,1.0053
2020-03-28,1.0048, N/A,1.0036,1.005,1.0034
2020-03-27,1.0038, N/A,1.0055,1.0061,1.0036
2020-03-26,1.0055, N/A,1.0046,1.0062,1.0049
2020-03-25,1.0046, N/A,1.0042,1.0048,1.0032
2020-03-24,1.0039, N/A,1.0057,1.0059,1.0038
2020-03-23,1.0057, N/A,1.0038,1.0065,1.0051
2020-03-22,1.0043, N/A,1.0045,1.0048,1.0033
2020-03-21,1.0043, N/A,1.0033,1.0054,1.0032
2020-03-20,1.0031, N/A,1.0032,1.0033,1.0017
2020-03-19,1.0034, N/A,1.0066,1.004,1.0032
2020-03-18,1.0067, N/A,1.0075,1.0081,1.0061
2020-03-17,1.0075, N/A,1.0087,1.0088,1.0069
2020-03-16,1.0218, N/A,1.0042,1.0222,1.0059
2020-03-15,1.0043, N/A,1.0062,1.0051,1.0023
2020-03-14,1.0054, N/A,1.0068,1.021,1.0053
2020-03-13,1.0070000000000001, N/A,1.022,1.0097,1.0059
2020-03-12,1.0242, N/A,1.0069,1.0667,1.0088
2020-03-11,1.0068, N/A,1.0057,1.008,1.0046
2020-03-10,1.0056, N/A,1.0048,1.0059,1.0037
2020-03-09,1.0047, N/A,1.0064,1.0051,1.0038
2020-03-08,1.0063, N/A,1.0061,1.008,1.0062
2020-03-07,1.0062, N/A,1.0071,1.0074,1.0047
2020-03-06,1.0068, N/A,1.006,1.008,1.0067
2020-03-05,1.0057, N/A,1.005,1.0065,1.0052
2020-03-04,1.0036, N/A,1.005,1.0059,1.0029
2020-03-03,1.004, N/A,1.0048,1.0059,1.0038
2020-03-02,1.0048, N/A,1.0058,1.0058,1.0045
2020-03-01,1.0059, N/A,1.006,1.0065,1.0053
2020-02-29,1.0057, N/A,1.0045,1.0069,1.0055
2020-02-28,1.0045, N/A,1.0049,1.0048,1.0037
2020-02-27,1.005, N/A,1.0041,1.0055,1.002
2020-02-26,1.004, N/A,1.0033,1.0053,1.0027
2020-02-25,1.0033, N/A,1.0021,1.0039,1.002
2020-02-24,1.0018, N/A,1.0021,1.0024,1.0012
2020-02-23,1.0021, N/A,1.0049,1.0042,1.0019
2020-02-22,1.0046, N/A,1.0024,1.0057,1.0043
2020-02-21,1.0024, N/A,1.0031,1.003,1.0019
2020-02-20,1.003, N/A,1.0011,1.0033,1.0017
2020-02-19,1.0013, N/A,1.0015,1.002,1.0002
2020-02-18,1.0016, N/A,1.001,1.0027,1.0011
2020-02-17,1.0031, N/A,1.001,1.0033,1.0011
2020-02-16,1.0021, N/A,0.9994,1.0023,1.0011
2020-02-15,0.9997, N/A,0.9995,1.0013,0.9995
2020-02-14,0.9994, N/A,0.9988,1.0,0.9984
2020-02-13,0.9987, N/A,1.001,0.9996,0.9982
2020-02-12,1.0008, N/A,1.0021,1.0011,0.9995
2020-02-11,1.0021, N/A,0.9998,1.0029,1.0004
2020-02-10,0.9998, N/A,0.9990000000000001,1.0,0.9993
2020-02-09,0.9990000000000001, N/A,0.9995,0.9995,0.9989
2020-02-08,0.9997, N/A,0.9982,1.0003,0.9987
2020-02-07,0.9983, N/A,0.9982,0.9990000000000001,0.9974
2020-02-06,0.9981, N/A,1.0008,0.9998,0.9976
2020-02-05,1.0011, N/A,0.9999,1.0013,0.9997
2020-02-04,1.0, N/A,1.001,1.0009,0.9990000000000001
2020-02-03,1.0009, N/A,1.0004,1.0018,1.0004
2020-02-02,1.0005, N/A,1.0018,1.0025,1.0003
2020-02-01,1.0019, N/A,1.0009,1.0027,1.0009
2020-01-31,1.0009, N/A,1.0001,1.0014,0.9999
2020-01-30,0.9998, N/A,1.0001,1.0002,0.9991
2020-01-29,1.0004, N/A,1.0022,1.0024,0.9998
2020-01-28,1.0022, N/A,1.0016,1.0034,1.0016
2020-01-27,1.0013, N/A,1.0024,1.0026,1.0003
2020-01-26,1.0031, N/A,1.0044,1.0044,1.0021
2020-01-25,1.0042, N/A,1.0035,1.0061,1.0026
2020-01-24,1.0033, N/A,1.0016,1.0038,1.0011
2020-01-23,1.0014, N/A,1.0017,1.0023,0.9997
2020-01-22,1.0017, N/A,1.0024,1.0036,1.0013
2020-01-21,1.0025, N/A,1.0021,1.003,1.0021
2020-01-20,1.002, N/A,1.0012,1.0024,1.0008
2020-01-19,1.0013, N/A,0.9998,1.0021,1.0005
2020-01-18,0.9997, N/A,0.9989,1.0006,0.9989
2020-01-17,0.9989, N/A,1.0004,0.9999,0.9979
2020-01-16,1.0005, N/A,1.0006,1.0033,1.0004
2020-01-15,1.0006, N/A,0.9995,1.0016,0.9990000000000001
2020-01-14,0.9985, N/A,1.0013,0.9996,0.9964
2020-01-13,1.0011, N/A,1.0009,1.0043,1.0011
2020-01-12,1.0008, N/A,1.0013,1.0012,1.0005
2020-01-11,1.0013, N/A,1.0014,1.0015,1.001
2020-01-10,1.0013, N/A,1.0058,1.0021,1.0012
2020-01-09,1.0059, N/A,1.002,1.0063,1.0041
2020-01-08,1.0019, N/A,1.0024,1.0021,1.0013
2020-01-07,1.0024, N/A,1.0019,1.0029,1.0016
2020-01-06,1.0019, N/A,1.0046,1.0057,1.0017
2020-01-05,1.0046, N/A,1.0074,1.0054,1.0037
2020-01-04,1.0072, N/A,1.0061,1.0083,1.005
2020-01-03,1.0062, N/A,1.0075,1.0071,1.0058
2020-01-02,1.0075, N/A,1.0093,1.0103,1.0053
2020-01-01,1.0094, N/A,1.0088,1.0167,1.0090000000000001
2019-12-31,1.0092, N/A,1.0068,1.0102,1.0081
2019-12-30,1.0063, N/A,1.0090000000000001,1.0079,1.0062
2019-12-29,1.0098, N/A,1.0092,1.0139,1.0091
2019-12-28,1.0092, N/A,1.0038,1.0099,1.0041
2019-12-27,1.0018, N/A,1.0033,1.0055,1.0008
2019-12-26,1.0033, N/A,1.0055,1.0055,1.0033
2019-12-25,1.0051, N/A,1.0077,1.006,1.0048
2019-12-24,1.0072, N/A,1.0057,1.0084,1.0041
2019-12-23,1.006, N/A,1.0089,1.0065,1.0034
2019-12-22,1.0089, N/A,1.016,1.0128,1.0084
2019-12-21,1.016, N/A,1.0096,1.0198,1.0105
2019-12-20,1.0089, N/A,1.0101,1.0125,1.005
2019-12-19,1.0103, N/A,1.0070000000000001,1.0106,1.0054
2019-12-18,1.0072, N/A,1.0066,1.0082,1.0053
2019-12-17,1.0067, N/A,1.0061,1.0069,1.0064
2019-12-16,1.006, N/A,1.0063,1.0065,1.0057
2019-12-15,1.0072, N/A,1.013,1.0109,1.0063
2019-12-14,1.0126, N/A,1.0067,1.0139,1.0079
2019-12-13,1.0064, N/A,1.0083,1.0072,1.0061
2019-12-12,1.0082, N/A,1.0059,1.0085,1.0031
2019-12-11,1.0059, N/A,1.0071,1.0074,1.0023
2019-12-10,1.0072, N/A,1.0070000000000001,1.0092,1.0031
2019-12-09,1.0071, N/A,1.0078,1.0088,1.0044
2019-12-08,1.0078, N/A,1.0097,1.0091,1.0077
2019-12-07,1.0095, N/A,1.0078,1.0122,1.0094
2019-12-06,1.0077, N/A,1.0071,1.008,1.0052
2019-12-05,1.0073, N/A,1.0061,1.0102,1.0048
2019-12-04,1.0062, N/A,1.0105,1.0072,1.0054
2019-12-03,1.0104, N/A,1.0102,1.0136,1.0066
2019-12-02,1.0097, N/A,1.0105,1.0118,1.0082
2019-12-01,1.0108, N/A,1.01,1.0109,1.0093
2019-11-30,1.0095, N/A,1.0082,1.0134,1.0089
2019-11-29,1.0084, N/A,1.0086,1.0088,1.0066
2019-11-28,1.0086, N/A,1.0068,1.0089,1.0057
2019-11-27,1.0067, N/A,1.0082,1.0072,1.0047
2019-11-26,1.0077, N/A,1.0076,1.0086,1.0059
2019-11-25,1.0079, N/A,1.0138,1.0082,1.0067
2019-11-24,1.0154, N/A,1.0085,1.0154,1.0090000000000001
2019-11-23,1.0085, N/A,1.0076,1.0087,1.008
2019-11-22,1.0075, N/A,1.0057,1.0078,1.0062
2019-11-21,1.0056, N/A,1.0072,1.006,1.0054
2019-11-20,1.0071, N/A,1.0069,1.0079,1.003
2019-11-19,1.0046, N/A,1.0024,1.0076,1.0023
2019-11-18,1.0068, N/A,1.0061,1.0076,1.0023
2019-11-17,1.0063, N/A,1.0065,1.0071,1.0058
2019-11-16,1.0052, N/A,1.0043,1.0054,1.004
2019-11-15,1.0043, N/A,1.0039,1.0052,1.0041
2019-11-14,1.0033, N/A,1.006,1.0042,1.0014
2019-11-13,1.0055, N/A,1.0039,1.006,1.0051
2019-11-12,1.0039, N/A,1.0032,1.0045,1.0018
2019-11-11,1.0037, N/A,1.0044,1.004,1.0027
2019-11-10,1.0046, N/A,1.0037,1.0048,1.0039
2019-11-09,1.0037, N/A,1.0018,1.0042,1.0033
2019-11-08,1.0014, N/A,1.0018,1.0019,1.0011
2019-11-07,1.0013, N/A,1.0021,1.002,1.0012
2019-11-06,1.0019, N/A,1.0039,1.0028,1.0016
2019-11-05,1.0042, N/A,1.0046,1.0043,1.0022
2019-11-04,1.0047, N/A,1.0036,1.005,1.0043
2019-11-03,1.0039, N/A,1.0044,1.0043,1.0032
2019-11-02,1.0046, N/A,1.0047,1.0047,1.0036
2019-11-01,1.0048, N/A,1.0044,1.005,1.0047
2019-10-31,1.0044, N/A,1.0039,1.0044,1.0034
2019-10-30,1.0037, N/A,1.0037,1.0044,1.0034
2019-10-29,1.0039, N/A,1.0027,1.0042,1.0029
2019-10-28,1.0027, N/A,1.0034,1.0033,1.0025
2019-10-27,1.0038, N/A,1.0042,1.004,1.003
2019-10-26,1.0043, N/A,1.0042,1.0047,1.0037
2019-10-25,1.0043, N/A,1.0084,1.0061,1.0018
2019-10-24,1.0083, N/A,1.0062,1.0087,1.008
2019-10-23,1.0061, N/A,1.0076,1.0068,1.0059
2019-10-22,1.0073, N/A,1.0083,1.0077,1.0047
2019-10-21,1.0081, N/A,1.0103,1.0086,1.0058
2019-10-20,1.0111, N/A,1.0081,1.0113,1.0097
2019-10-19,1.0083, N/A,1.0073,1.0086,1.0061
2019-10-18,1.0074, N/A,1.0085,1.0078,1.0058
2019-10-17,1.0078, N/A,1.0055,1.0084,1.0076
2019-10-16,1.0055, N/A,1.0062,1.0056,1.0049
2019-10-15,1.0064, N/A,1.0064,1.0068,1.0059
2019-10-14,1.0066, N/A,1.0084,1.0072,1.0031
2019-10-13,1.0082, N/A,1.0095,1.0095,1.008
2019-10-12,1.0087, N/A,1.0047,1.0099,1.0087
2019-10-11,1.0045, N/A,1.005,1.0049,1.003
2019-10-10,1.0053, N/A,1.0038,1.0054,1.0038
2019-10-09,1.0039, N/A,1.0052,1.0042,1.0035
2019-10-08,1.0049, N/A,1.0054,1.0053,1.0046
2019-10-07,1.0054, N/A,1.0083,1.0061,1.0048
2019-10-06,1.0084, N/A,1.0074,1.0108,1.0075
2019-10-05,1.0091, N/A,1.0084,1.0108,1.0075
2019-10-04,1.0085, N/A,1.0082,1.0091,1.006
2019-10-03,1.0083, N/A,1.0074,1.0093,1.008
2019-10-02,1.0076, N/A,1.008,1.0079,1.0067
2019-10-01,1.0083, N/A,1.0062,1.0083,1.0055
2019-09-30,1.0063, N/A,1.0063,1.0068,1.0058
2019-09-29,1.0063, N/A,1.0044,1.0070000000000001,1.0055
2019-09-28,1.0046, N/A,1.0054,1.0047,1.0043
2019-09-27,1.0055, N/A,1.0058,1.0057,1.0042
2019-09-26,1.0057, N/A,1.0061,1.0059,1.0048
2019-09-25,1.0061, N/A,1.0038,1.0065,1.0044
2019-09-24,1.0043, N/A,1.0029,1.005,1.0034
2019-09-23,1.0032, N/A,1.0041,1.0038,1.0023
2019-09-22,1.0037, N/A,1.0035,1.0044,1.0035
2019-09-21,1.0036, N/A,1.0041,1.0039,1.0032
2019-09-20,1.004, N/A,1.0049,1.0046,1.0026
2019-09-19,1.005, N/A,1.0048,1.0053,1.0041
2019-09-18,1.0047, N/A,1.0046,1.005,1.0038
2019-09-17,1.0043, N/A,1.0044,1.0047,1.0028
2019-09-16,1.0042, N/A,1.0047,1.0046,1.003
2019-09-15,1.0045, N/A,1.005,1.0062,1.0044
